index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses,  scale,  IPC, CPUs,  GHz 
PGM,      16,     0.01, 290.28,       240.20,      1.87,       1.50,          0.28,     118.20,        0.02,      73.60,             0.26,       27.11,              0.16,       0.00,             0.12, 100000, 0.83, 1.01, 2.46 
PGM,       4,     0.01, 193.99,       214.39,      1.71,       1.46,          0.18,      79.02,        0.00,      57.40,             0.01,       10.99,              0.03,       0.00,             -nan, 100000, 1.11, 1.01, 2.45 
PGM,       8,     0.01, 199.35,       224.67,      1.70,       1.46,          0.23,      81.21,        0.00,      58.37,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.13, 1.01, 2.45 
PGM,      32,     0.01, 208.27,       246.17,      1.71,       1.46,          0.26,      81.52,        0.00,      60.36,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.18, 1.01, 2.55 
PGM,      64,     0.01, 250.89,       255.99,      1.70,       1.46,          0.23,      75.25,        0.00,      61.23,             0.01,       10.97,              0.03,       0.00,             -nan, 100000, 1.02, 1.01, 3.33 
PGM,     256,     0.01, 180.76,       251.43,      1.70,       1.46,          0.24,      76.78,        0.00,      57.20,             0.01,       10.98,              0.03,       0.01,             0.10, 100000, 1.39, 1.01, 2.35 
PGM,    1024,     0.01, 187.98,       275.22,      1.70,       1.46,          0.26,      76.57,        0.00,      59.34,             0.01,       10.97,              0.03,       0.00,             -nan, 100000, 1.46, 1.01, 2.46 
PGM,    2048,     0.01, 191.32,       287.32,      1.71,       1.46,          0.26,      78.00,        0.00,      60.36,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.50, 1.02, 2.45 
PGM,    4096,     0.01, 194.88,       298.40,      1.71,       1.46,          0.26,      79.37,        0.00,      61.36,             0.01,       10.99,              0.03,       0.00,             -nan, 100000, 1.53, 1.01, 2.46 
PGM,    8192,     0.01, 162.17,       280.93,      1.70,       1.46,          0.23,      63.48,        0.00,      56.23,             0.01,       10.97,              0.03,       0.00,             -nan, 100000, 1.73, 1.02, 2.55 
PGMCacheL (0, 0.000000, 0),      16,     0.01, 160.55,       200.40,      1.72,       1.46,          0.05,      65.50,        0.00,      66.64,             0.02,       32.04,              0.03,       0.00,             -nan, 100000, 1.25, 1.02, 2.45 
