index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses, scale,  IPC, CPUs,  GHz 
PGM,      16,     0.00, 375.72,       249.82,     14.90,      14.68,          0.55,     156.91,        0.00,      64.93,             0.10,       65.74,              0.27,       -nan,             -nan, 10000, 0.66, 1.07, 2.39 
PGM,       4,     0.00, 419.11,       275.13,     14.73,      14.54,          0.47,     174.25,        0.00,      73.27,             0.07,       64.59,              0.26,       -nan,             -nan, 10000, 0.66, 1.06, 2.41 
PGM,       8,     0.00, 385.76,       259.68,     14.71,      14.51,          0.46,     160.85,        0.00,      68.15,             0.07,       64.56,              0.27,       -nan,             -nan, 10000, 0.67, 1.07, 2.40 
PGM,      32,     0.00, 359.64,       255.76,     14.71,      14.51,          0.47,     150.50,        0.00,      64.15,             0.07,       64.55,              0.26,       -nan,             -nan, 10000, 0.71, 1.07, 2.39 
PGM,      64,     0.00, 396.71,       290.84,     14.71,      14.51,          0.44,     165.28,        0.00,      70.98,             0.07,       64.56,              0.27,       -nan,             -nan, 10000, 0.73, 1.06, 2.40 
PGM,     256,     0.00, 364.35,       286.75,     14.71,      14.51,          0.52,     152.35,        0.00,      66.96,             0.07,       64.54,              0.27,       -nan,             -nan, 10000, 0.79, 1.07, 2.39 
PGM,    1024,     0.00, 336.43,       282.84,     14.71,      14.51,          0.51,     141.06,        0.00,      62.98,             0.07,       64.56,              0.27,       -nan,             -nan, 10000, 0.84, 1.08, 2.38 
PGM,    2048,     0.00, 377.34,       319.81,     14.71,      14.52,          0.45,     157.54,        0.00,      69.98,             0.07,       64.56,              0.26,       -nan,             -nan, 10000, 0.85, 1.07, 2.40 
PGM,    4096,     0.00, 343.00,       293.85,     14.71,      14.53,          0.44,     138.28,        0.00,      60.99,             0.07,       63.56,              0.27,       -nan,             -nan, 10000, 0.86, 1.07, 2.48 
PGM,    8192,     0.00, 344.91,       316.30,     14.71,      14.52,          0.43,     144.58,        0.00,      66.01,             0.07,       64.54,              0.27,       -nan,             -nan, 10000, 0.92, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),      16,     0.00, 325.62,       174.94,     14.79,      14.55,          0.42,     136.71,        0.00,      57.62,             0.09,       75.22,              0.27,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),       4,     0.00, 319.22,       171.78,     14.73,      14.53,          0.40,     134.27,        0.00,      56.70,             0.08,       74.70,              0.26,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),       8,     0.00, 320.51,       172.24,     14.74,      14.54,          0.41,     134.81,        0.00,      56.87,             0.08,       74.78,              0.27,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),      32,     0.00, 318.19,       171.56,     14.73,      14.51,          0.40,     133.82,        0.00,      56.65,             0.08,       74.68,              0.26,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),      64,     0.00, 320.49,       171.57,     14.73,      14.52,          0.40,     134.72,        0.00,      56.65,             0.08,       74.67,              0.26,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),     256,     0.00, 323.34,       172.20,     14.74,      14.53,          0.41,     135.93,        0.00,      56.85,             0.08,       74.77,              0.27,       -nan,             -nan, 10000, 0.53, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),    1024,     0.00, 318.04,       171.58,     14.73,      14.51,          0.40,     133.75,        0.00,      56.63,             0.07,       74.67,              0.27,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),    2048,     0.00, 323.83,       171.65,     14.73,      14.52,          0.41,     136.01,        0.00,      56.65,             0.08,       74.67,              0.26,       -nan,             -nan, 10000, 0.53, 1.08, 2.38 
