index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses, scale,  IPC, CPUs,  GHz 
PGM,      16,     0.01, 1259.66,       717.74,     16.50,      14.96,          1.89,     513.33,        0.22,     204.71,             2.59,      225.83,              1.59,       0.04,             -nan, 10000, 0.57, 1.02, 2.45 
PGM,       4,     0.00, 418.66,       251.69,     14.95,      14.63,          1.29,     174.09,        0.00,      67.60,             0.09,       64.57,              0.27,       -nan,             -nan, 10000, 0.60, 1.06, 2.40 
PGM,       8,     0.00, 390.75,       233.91,     14.92,      14.59,          1.44,     156.59,        0.00,      62.19,             0.08,       64.53,              0.27,       -nan,             -nan, 10000, 0.60, 1.06, 2.50 
PGM,      32,     0.00, 396.92,       253.25,     14.94,      14.61,          1.44,     165.52,        0.00,      63.89,             0.08,       64.53,              0.27,       -nan,             -nan, 10000, 0.64, 1.07, 2.40 
PGM,      64,     0.00, 396.07,       262.85,     14.98,      14.62,          1.51,     165.01,        0.00,      64.76,             0.08,       64.52,              0.26,       -nan,             -nan, 10000, 0.66, 1.06, 2.40 
PGM,     256,     0.00, 372.41,       258.23,     15.19,      14.71,          1.75,     161.93,        0.00,      60.67,             0.09,       64.54,              0.27,       -nan,             -nan, 10000, 0.69, 1.07, 2.30 
PGM,    1024,     0.00, 386.09,       278.85,     15.30,      14.79,          1.85,     160.92,        0.00,      62.54,             0.11,       64.55,              0.26,       -nan,             -nan, 10000, 0.72, 1.07, 2.40 
PGM,    2048,     0.00, 388.95,       295.54,     15.33,      14.79,          1.86,     162.19,        0.00,      64.07,             0.11,       64.56,              0.27,       -nan,             -nan, 10000, 0.76, 1.07, 2.40 
PGM,    4096,     0.00, 385.38,       291.14,     15.43,      14.81,          1.82,     160.74,        0.00,      60.66,             0.12,       63.54,              0.27,       -nan,             -nan, 10000, 0.76, 1.07, 2.40 
PGM,    8192,     0.00, 399.22,       312.35,     15.58,      14.88,          1.89,     166.40,        0.00,      65.72,             0.14,       64.63,              0.27,       -nan,             -nan, 10000, 0.78, 1.06, 2.40 
PGMCacheL (0, 0.000000, 0),      16,     0.00, 364.16,       206.61,     15.39,      14.69,          0.80,     154.47,        0.00,      64.32,             0.15,       79.19,              0.27,       -nan,             -nan, 10000, 0.57, 1.07, 2.36 
PGMCacheL (0, 0.000000, 0),       4,     0.00, 358.10,       203.34,     15.24,      14.63,          0.82,     149.82,        0.00,      63.50,             0.15,       78.53,              0.26,       -nan,             -nan, 10000, 0.57, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),       8,     0.00, 356.88,       202.68,     15.22,      14.63,          0.82,     149.33,        0.00,      63.33,             0.15,       78.63,              0.26,       -nan,             -nan, 10000, 0.57, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),      32,     0.00, 357.55,       202.97,     15.27,      14.63,          0.80,     149.71,        0.00,      63.15,             0.14,       78.53,              0.27,       -nan,             -nan, 10000, 0.57, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),      64,     0.00, 359.94,       204.31,     15.32,      14.66,          0.82,     150.54,        0.00,      63.41,             0.14,       78.62,              0.27,       -nan,             -nan, 10000, 0.57, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),     256,     0.00, 358.98,       203.14,     15.44,      14.68,          0.88,     150.16,        0.00,      62.91,             0.14,       78.54,              0.27,       -nan,             -nan, 10000, 0.57, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),    1024,     0.00, 362.42,       204.18,     15.72,      14.81,          0.96,     151.56,        0.00,      62.99,             0.15,       78.52,              0.26,       -nan,             -nan, 10000, 0.56, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),    2048,     0.00, 363.63,       205.14,     15.74,      14.81,          0.97,     151.97,        0.00,      63.08,             0.16,       78.52,              0.27,       -nan,             -nan, 10000, 0.56, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),    4096,     0.00, 375.99,       206.29,     15.91,      14.88,          1.00,     145.44,        0.00,      63.32,             0.17,       78.61,              0.27,       -nan,             -nan, 10000, 0.55, 1.07, 2.59 
PGMCacheL (0, 0.000000, 0),    8192,     0.00, 369.99,       206.06,     16.07,      14.91,          1.00,     154.54,        0.00,      63.16,             0.18,       78.53,              0.26,       -nan,             -nan, 10000, 0.56, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),      16,     0.00, 365.74,       204.46,     15.24,      14.63,          0.82,     152.92,        0.00,      63.73,             0.14,       78.81,              0.27,       -nan,             -nan, 10000, 0.56, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),       4,     0.00, 374.46,       203.39,     15.25,      14.64,          0.82,     144.82,        0.00,      63.50,             0.14,       78.51,              0.27,       -nan,             -nan, 10000, 0.54, 1.07, 2.59 
PGMCacheR (0, 0.000000, 0),       8,     0.00, 361.86,       202.71,     15.23,      14.63,          0.83,     151.35,        0.00,      63.32,             0.15,       78.61,              0.27,       -nan,             -nan, 10000, 0.56, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),      32,     0.00, 354.14,       203.13,     15.27,      14.61,          0.80,     154.28,        0.00,      63.15,             0.13,       78.52,              0.26,       -nan,             -nan, 10000, 0.57, 1.07, 2.30 
PGMCacheR (0, 0.000000, 0),      64,     0.00, 362.15,       204.29,     15.32,      14.68,          0.82,     151.38,        0.00,      63.39,             0.14,       78.60,              0.27,       -nan,             -nan, 10000, 0.56, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),     256,     0.00, 384.63,       203.01,     15.44,      14.68,          0.86,     125.47,        0.00,      62.88,             0.14,       78.52,              0.29,       -nan,             -nan, 10000, 0.53, 1.07, 3.07 
PGMCacheR (0, 0.000000, 0),    1024,     0.00, 360.10,       204.25,     15.73,      14.82,          0.96,     150.58,        0.00,      62.99,             0.15,       78.52,              0.26,       -nan,             -nan, 10000, 0.57, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),    2048,     0.00, 363.11,       205.12,     15.76,      14.83,          0.95,     151.88,        0.00,      63.08,             0.15,       78.52,              0.27,       -nan,             -nan, 10000, 0.56, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),    4096,     0.00, 367.20,       206.27,     15.90,      14.89,          1.00,     153.44,        0.00,      63.31,             0.17,       78.62,              0.26,       -nan,             -nan, 10000, 0.56, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),    8192,     0.00, 366.39,       206.14,     16.03,      14.90,          1.00,     153.26,        0.00,      63.16,             0.19,       78.52,              0.27,       -nan,             -nan, 10000, 0.56, 1.07, 2.39 
