index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses, scale,  IPC, CPUs,  GHz 
PGM,      16,     0.00, 1241.93,       715.94,     16.35,      14.91,          1.33,     506.07,        0.22,     204.38,             2.58,      225.68,              1.62,       0.01,             -nan, 10000, 0.58, 1.02, 2.45 
PGM,       4,     0.00, 407.88,       249.57,     14.76,      14.49,          0.88,     140.62,        0.00,      67.29,             0.07,       64.57,              0.27,       -nan,             -nan, 10000, 0.61, 1.07, 2.90 
PGM,       8,     0.00, 371.04,       232.29,     14.73,      14.50,          0.94,     148.99,        0.00,      61.99,             0.07,       64.54,              0.27,       -nan,             -nan, 10000, 0.63, 1.07, 2.49 
PGM,      32,     0.00, 372.83,       252.60,     14.73,      14.50,          0.91,     155.66,        0.00,      63.84,             0.07,       64.54,              0.27,       -nan,             -nan, 10000, 0.68, 1.07, 2.40 
PGM,      64,     0.00, 377.02,       262.89,     14.73,      14.53,          0.89,     157.32,        0.00,      64.78,             0.07,       64.55,              0.26,       -nan,             -nan, 10000, 0.70, 1.07, 2.40 
PGM,     256,     0.00, 348.93,       259.15,     14.76,      14.50,          0.94,     146.09,        0.00,      60.80,             0.07,       64.55,              0.27,       -nan,             -nan, 10000, 0.74, 1.07, 2.39 
PGM,    1024,     0.00, 354.97,       280.67,     14.77,      14.52,          0.97,     148.45,        0.00,      62.77,             0.07,       64.57,              0.27,       -nan,             -nan, 10000, 0.79, 1.07, 2.39 
PGM,    2048,     0.00, 355.77,       295.52,     14.77,      14.49,          0.97,     148.78,        0.00,      64.11,             0.07,       64.55,              0.27,       -nan,             -nan, 10000, 0.83, 1.07, 2.39 
PGM,    4096,     0.00, 351.44,       292.15,     14.78,      14.53,          0.95,     147.13,        0.00,      60.81,             0.07,       63.55,              0.27,       -nan,             -nan, 10000, 0.83, 1.07, 2.39 
PGM,    8192,     0.00, 365.92,       313.42,     14.78,      14.53,          0.93,     153.02,        0.00,      65.73,             0.07,       64.53,              0.26,       -nan,             -nan, 10000, 0.86, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),      16,     0.00, 345.11,       185.80,     14.84,      14.59,          0.52,     144.54,        0.00,      59.97,             0.10,       76.02,              0.27,       -nan,             -nan, 10000, 0.54, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),       4,     0.00, 361.12,       181.38,     14.77,      14.48,          0.51,     114.56,        0.00,      58.81,             0.09,       75.34,              0.28,       -nan,             -nan, 10000, 0.50, 1.07, 3.15 
PGMCacheL (0, 0.000000, 0),       8,     0.00, 344.08,       181.70,     14.78,      14.54,          0.54,     138.67,        0.00,      58.92,             0.09,       75.43,              0.27,       -nan,             -nan, 10000, 0.53, 1.07, 2.48 
PGMCacheL (0, 0.000000, 0),      32,     0.00, 341.87,       181.32,     14.78,      14.51,          0.53,     143.37,        0.00,      58.75,             0.09,       75.33,              0.27,       -nan,             -nan, 10000, 0.53, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),      64,     0.00, 347.58,       182.22,     14.79,      14.56,          0.55,     145.57,        0.00,      58.98,             0.09,       75.45,              0.27,       -nan,             -nan, 10000, 0.52, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),     256,     0.00, 344.46,       181.38,     14.80,      14.52,          0.56,     144.33,        0.00,      58.71,             0.09,       75.35,              0.27,       -nan,             -nan, 10000, 0.53, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),    1024,     0.00, 336.23,       181.65,     14.82,      14.51,          0.56,     140.99,        0.00,      58.73,             0.09,       75.35,              0.27,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),    2048,     0.00, 357.94,       181.81,     14.82,      14.49,          0.54,     117.19,        0.00,      58.73,             0.09,       75.33,              0.27,       -nan,             -nan, 10000, 0.51, 1.07, 3.05 
PGMCacheL (0, 0.000000, 0),    4096,     0.00, 342.21,       182.72,     14.84,      14.55,          0.58,     143.34,        0.00,      58.98,             0.09,       75.45,              0.27,       -nan,             -nan, 10000, 0.53, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),    8192,     0.00, 342.28,       182.11,     14.83,      14.53,          0.57,     143.49,        0.00,      58.78,             0.09,       75.35,              0.27,       -nan,             -nan, 10000, 0.53, 1.08, 2.39 
PGMCacheR (0, 0.000000, 0),      16,     0.00, 344.94,       182.54,     14.79,      14.53,          0.54,     144.49,        0.00,      59.15,             0.10,       75.53,              0.27,       -nan,             -nan, 10000, 0.53, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),       4,     0.00, 343.02,       181.88,     14.78,      14.54,          0.54,     143.75,        0.00,      58.98,             0.09,       75.41,              0.27,       -nan,             -nan, 10000, 0.53, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),       8,     0.00, 341.15,       181.35,     14.77,      14.51,          0.53,     142.95,        0.00,      58.77,             0.09,       75.36,              0.27,       -nan,             -nan, 10000, 0.53, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),      32,     0.00, 335.76,       181.32,     14.78,      14.51,          0.53,     140.79,        0.00,      58.74,             0.09,       75.32,              0.27,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),      64,     0.00, 349.27,       181.40,     14.78,      14.53,          0.54,     140.72,        0.00,      58.75,             0.09,       75.34,              0.27,       -nan,             -nan, 10000, 0.52, 1.07, 2.48 
PGMCacheR (0, 0.000000, 0),     256,     0.00, 347.45,       181.92,     14.81,      14.54,          0.58,     139.92,        0.00,      58.88,             0.09,       75.42,              0.28,       -nan,             -nan, 10000, 0.52, 1.07, 2.48 
PGMCacheR (0, 0.000000, 0),    1024,     0.00, 339.78,       181.63,     14.82,      14.52,          0.56,     142.47,        0.00,      58.73,             0.09,       75.34,              0.27,       -nan,             -nan, 10000, 0.53, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),    2048,     0.00, 335.92,       181.89,     14.81,      14.52,          0.57,     140.89,        0.00,      58.76,             0.09,       75.35,              0.27,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),    4096,     0.00, 341.87,       182.53,     14.84,      14.56,          0.58,     143.26,        0.00,      58.94,             0.09,       75.42,              0.27,       -nan,             -nan, 10000, 0.53, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),    8192,     0.00, 339.79,       182.03,     14.83,      14.53,          0.57,     142.43,        0.00,      58.75,             0.09,       75.33,              0.27,       -nan,             -nan, 10000, 0.54, 1.08, 2.39 
