index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses, scale,  IPC, CPUs,  GHz 
PGM,      16,     0.00, 1242.31,       717.12,     16.36,      14.91,          1.33,     506.13,        0.22,     203.76,             2.61,      225.66,              1.60,       0.04,             -nan, 10000, 0.58, 1.02, 2.45 
PGM,       4,     0.00, 357.01,       224.43,     14.75,      14.53,          0.72,     149.43,        0.00,      60.38,             0.07,       64.56,              0.27,       -nan,             -nan, 10000, 0.63, 1.07, 2.39 
PGM,       8,     0.00, 361.57,       234.60,     14.73,      14.49,          0.80,     151.20,        0.00,      61.20,             0.07,       64.53,              0.27,       -nan,             -nan, 10000, 0.65, 1.07, 2.39 
PGM,      32,     0.00, 370.02,       256.38,     14.77,      14.51,          0.93,     154.62,        0.00,      63.29,             0.08,       64.61,              0.27,       -nan,             -nan, 10000, 0.69, 1.07, 2.39 
PGM,      64,     0.00, 375.69,       264.75,     14.74,      14.52,          0.89,     156.86,        0.00,      63.95,             0.07,       64.55,              0.26,       -nan,             -nan, 10000, 0.70, 1.07, 2.40 
PGM,     256,     0.00, 386.27,       258.42,     14.76,      14.51,          0.97,     122.18,        0.00,      59.72,             0.07,       64.52,              0.29,       -nan,             -nan, 10000, 0.67, 1.07, 3.16 
PGM,    1024,     0.00, 355.67,       284.73,     14.76,      14.50,          1.02,     148.85,        0.00,      62.11,             0.07,       64.53,              0.27,       -nan,             -nan, 10000, 0.80, 1.07, 2.39 
PGM,    2048,     0.00, 376.81,       295.91,     14.78,      14.50,          1.00,     135.73,        0.00,      63.13,             0.07,       64.55,              0.27,       -nan,             -nan, 10000, 0.79, 1.07, 2.78 
PGM,    4096,     0.00, 364.66,       307.44,     14.80,      14.53,          1.02,     152.48,        0.00,      64.32,             0.08,       64.62,              0.26,       -nan,             -nan, 10000, 0.84, 1.07, 2.39 
PGM,    8192,     0.00, 325.60,       289.36,     14.78,      14.51,          0.92,     136.86,        0.00,      58.91,             0.07,       64.54,              0.26,       -nan,             -nan, 10000, 0.89, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),      16,     0.00, 367.06,       230.87,     14.81,      14.54,          0.56,     153.45,        0.00,      74.37,             0.09,       86.64,              0.27,       -nan,             -nan, 10000, 0.63, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),       4,     0.00, 362.71,       228.98,     14.77,      14.52,          0.57,     151.65,        0.00,      74.00,             0.09,       86.37,              0.26,       -nan,             -nan, 10000, 0.63, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),       8,     0.00, 367.97,       229.76,     14.78,      14.52,          0.58,     153.78,        0.00,      74.21,             0.09,       86.48,              0.27,       -nan,             -nan, 10000, 0.62, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),      32,     0.00, 365.29,       229.37,     14.78,      14.51,          0.57,     152.76,        0.00,      74.03,             0.09,       86.39,              0.27,       -nan,             -nan, 10000, 0.63, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),      64,     0.00, 368.85,       230.11,     14.80,      14.56,          0.58,     154.13,        0.00,      74.24,             0.09,       86.48,              0.26,       -nan,             -nan, 10000, 0.62, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),     256,     0.00, 352.96,       229.46,     14.81,      14.50,          0.60,     217.67,        0.00,      74.00,             0.09,       86.41,              0.27,       -nan,             -nan, 10000, 0.65, 1.07, 1.62 
PGMCacheL (0, 0.000000, 0),    1024,     0.00, 366.13,       229.74,     14.82,      14.49,          0.60,     153.13,        0.00,      74.01,             0.09,       86.39,              0.26,       -nan,             -nan, 10000, 0.63, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),    2048,     0.00, 366.22,       230.62,     14.84,      14.54,          0.60,     153.18,        0.00,      74.23,             0.09,       86.48,              0.27,       -nan,             -nan, 10000, 0.63, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),    4096,     0.00, 366.14,       230.08,     14.84,      14.52,          0.58,     153.11,        0.00,      74.04,             0.09,       86.38,              0.26,       -nan,             -nan, 10000, 0.63, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),    8192,     0.00, 365.44,       229.86,     14.85,      14.53,          0.61,     152.80,        0.00,      73.97,             0.09,       86.39,              0.26,       -nan,             -nan, 10000, 0.63, 1.07, 2.39 
