index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses, scale,  IPC, CPUs,  GHz 
PGM,      16,     0.00, 1234.30,       719.59,     16.51,      14.88,          0.90,     503.05,        0.22,     205.67,             2.95,      225.72,              1.63,       0.01,             -nan, 10000, 0.58, 1.02, 2.45 
PGM,       4,     0.00, 385.36,       249.00,     14.72,      14.54,          0.45,     160.82,        0.00,      67.24,             0.07,       64.57,              0.27,       -nan,             -nan, 10000, 0.65, 1.07, 2.40 
PGM,       8,     0.00, 355.46,       232.54,     14.71,      14.51,          0.48,     142.93,        0.00,      62.03,             0.07,       64.54,              0.28,       -nan,             -nan, 10000, 0.65, 1.07, 2.49 
PGM,      32,     0.00, 360.92,       253.92,     14.71,      14.50,          0.46,     150.93,        0.00,      63.97,             0.07,       64.54,              0.27,       -nan,             -nan, 10000, 0.70, 1.07, 2.39 
PGM,      64,     0.00, 356.45,       264.70,     14.70,      14.48,          0.44,     155.31,        0.00,      64.94,             0.07,       64.52,              0.26,       -nan,             -nan, 10000, 0.74, 1.07, 2.30 
PGM,     256,     0.00, 332.09,       260.81,     14.70,      14.50,          0.45,     139.26,        0.00,      60.95,             0.07,       64.52,              0.27,       -nan,             -nan, 10000, 0.79, 1.08, 2.38 
PGM,    1024,     0.00, 340.59,       282.70,     14.71,      14.50,          0.52,     142.67,        0.00,      62.95,             0.07,       64.53,              0.27,       -nan,             -nan, 10000, 0.83, 1.07, 2.39 
PGM,    2048,     0.00, 342.47,       295.56,     14.70,      14.50,          0.47,     143.56,        0.00,      64.12,             0.07,       64.53,              0.27,       -nan,             -nan, 10000, 0.86, 1.07, 2.39 
PGM,    4096,     0.00, 336.50,       294.05,     14.71,      14.50,          0.45,     141.13,        0.00,      61.00,             0.07,       63.56,              0.27,       -nan,             -nan, 10000, 0.87, 1.08, 2.38 
PGM,    8192,     0.00, 358.70,       315.69,     14.70,      14.50,          0.45,     139.00,        0.00,      65.95,             0.07,       64.53,              0.27,       -nan,             -nan, 10000, 0.88, 1.07, 2.58 
PGMCacheL (0, 0.000000, 0),      16,     0.00, 305.13,       168.12,     14.75,      14.52,          0.28,     128.60,        0.00,      56.06,             0.08,       74.97,              0.27,       -nan,             -nan, 10000, 0.55, 1.08, 2.37 
PGMCacheL (0, 0.000000, 0),       4,     0.00, 302.86,       166.87,     14.76,      14.56,          0.28,     127.66,        0.00,      55.75,             0.08,       74.84,              0.28,       -nan,             -nan, 10000, 0.55, 1.09, 2.37 
PGMCacheL (0, 0.000000, 0),       8,     0.00, 301.13,       165.78,     14.72,      14.49,          0.26,     127.03,        0.00,      55.41,             0.08,       74.63,              0.27,       -nan,             -nan, 10000, 0.55, 1.09, 2.37 
PGMCacheL (0, 0.000000, 0),      32,     0.00, 298.38,       165.86,     14.72,      14.50,          0.27,     131.17,        0.00,      55.43,             0.08,       74.64,              0.27,       -nan,             -nan, 10000, 0.56, 1.09, 2.27 
PGMCacheL (0, 0.000000, 0),      64,     0.00, 305.13,       165.89,     14.73,      14.50,          0.26,     128.56,        0.00,      55.43,             0.07,       74.64,              0.27,       -nan,             -nan, 10000, 0.54, 1.08, 2.37 
PGMCacheL (0, 0.000000, 0),     256,     0.00, 306.35,       166.45,     14.73,      14.52,          0.28,     129.11,        0.00,      55.60,             0.08,       74.71,              0.27,       -nan,             -nan, 10000, 0.54, 1.08, 2.37 
PGMCacheL (0, 0.000000, 0),    1024,     0.00, 297.85,       166.00,     14.72,      14.50,          0.27,     125.70,        0.00,      55.43,             0.08,       74.64,              0.27,       -nan,             -nan, 10000, 0.56, 1.09, 2.37 
PGMCacheL (0, 0.000000, 0),    2048,     0.00, 303.18,       166.32,     14.72,      14.50,          0.27,     127.86,        0.00,      55.46,             0.07,       74.68,              0.27,       -nan,             -nan, 10000, 0.55, 1.09, 2.37 
PGMCacheL (0, 0.000000, 0),    4096,     0.00, 303.40,       166.65,     14.73,      14.52,          0.28,     127.84,        0.00,      55.63,             0.08,       74.73,              0.27,       -nan,             -nan, 10000, 0.55, 1.08, 2.37 
PGMCacheL (0, 0.000000, 0),    8192,     0.00, 302.09,       166.33,     14.72,      14.49,          0.27,     127.43,        0.00,      55.46,             0.08,       74.68,              0.27,       -nan,             -nan, 10000, 0.55, 1.09, 2.37 
PGMCacheR (0, 0.000000, 0),      16,     0.00, 307.17,       167.13,     14.74,      14.53,          0.28,     129.41,        0.00,      55.83,             0.08,       74.82,              0.28,       -nan,             -nan, 10000, 0.54, 1.08, 2.37 
PGMCacheR (0, 0.000000, 0),       4,     0.00, 316.10,       165.78,     14.72,      14.49,          0.26,     132.90,        0.00,      55.42,             0.07,       74.62,              0.28,       -nan,             -nan, 10000, 0.52, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),       8,     0.00, 300.13,       165.77,     14.72,      14.49,          0.26,     126.60,        0.00,      55.41,             0.08,       74.63,              0.27,       -nan,             -nan, 10000, 0.55, 1.09, 2.37 
PGMCacheR (0, 0.000000, 0),      32,     0.00, 298.43,       165.78,     14.72,      14.50,          0.26,     125.93,        0.00,      55.41,             0.08,       74.63,              0.27,       -nan,             -nan, 10000, 0.56, 1.09, 2.37 
PGMCacheR (0, 0.000000, 0),      64,     0.00, 302.49,       166.68,     14.73,      14.50,          0.28,     132.71,        0.00,      55.66,             0.08,       74.75,              0.26,       -nan,             -nan, 10000, 0.55, 1.08, 2.28 
PGMCacheR (0, 0.000000, 0),     256,     0.00, 303.66,       166.55,     14.74,      14.52,          0.28,     123.02,        0.00,      55.63,             0.08,       74.73,              0.27,       -nan,             -nan, 10000, 0.55, 1.08, 2.47 
PGMCacheR (0, 0.000000, 0),    1024,     0.00, 298.16,       165.86,     14.72,      14.50,          0.27,     125.86,        0.00,      55.41,             0.08,       74.63,              0.27,       -nan,             -nan, 10000, 0.56, 1.09, 2.37 
PGMCacheR (0, 0.000000, 0),    2048,     0.00, 293.29,       165.89,     14.72,      14.51,          0.26,     123.92,        0.00,      55.41,             0.08,       74.62,              0.27,       -nan,             -nan, 10000, 0.57, 1.09, 2.37 
PGMCacheR (0, 0.000000, 0),    4096,     0.00, 299.98,       165.95,     14.72,      14.51,          0.26,     126.53,        0.00,      55.42,             0.08,       74.63,              0.27,       -nan,             -nan, 10000, 0.55, 1.09, 2.37 
PGMCacheR (0, 0.000000, 0),    8192,     0.00, 302.50,       166.01,     14.72,      14.50,          0.26,     127.58,        0.00,      55.43,             0.07,       74.64,              0.27,       -nan,             -nan, 10000, 0.55, 1.09, 2.37 
