index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses,  scale,  IPC, CPUs,  GHz 
PGM,      16,     0.01, 289.27,       241.58,      1.88,       1.49,          0.28,     117.83,        0.02,      74.57,             0.26,       27.10,              0.16,       0.00,             0.18, 100000, 0.84, 1.01, 2.46 
PGM,       4,     0.01, 230.68,       236.19,      1.71,       1.47,          0.23,      94.02,        0.00,      64.37,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.02, 1.01, 2.45 
PGM,       8,     0.01, 198.68,       221.51,      1.70,       1.46,          0.26,      80.98,        0.00,      59.24,             0.01,       10.97,              0.03,       0.00,             -nan, 100000, 1.11, 1.01, 2.45 
PGM,      32,     0.01, 207.06,       242.25,      1.70,       1.46,          0.24,      84.30,        0.00,      61.20,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.17, 1.01, 2.46 
PGM,      64,     0.01, 210.08,       254.32,      1.70,       1.46,          0.23,      85.62,        0.00,      62.19,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.21, 1.01, 2.45 
PGM,     256,     0.01, 182.23,       251.44,      1.70,       1.46,          0.23,      74.26,        0.00,      58.18,             0.01,       10.97,              0.03,       0.00,             -nan, 100000, 1.38, 1.01, 2.45 
PGM,    1024,     0.01, 189.83,       274.91,      1.70,       1.46,          0.30,      77.34,        0.00,      60.18,             0.01,       10.98,              0.03,       0.02,             -nan, 100000, 1.45, 1.01, 2.45 
PGM,    2048,     0.01, 191.46,       287.57,      1.70,       1.46,          0.25,      78.01,        0.00,      61.35,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.50, 1.01, 2.45 
PGM,    4096,     0.01, 184.31,       285.40,      1.70,       1.46,          0.23,      78.29,        0.00,      58.20,             0.01,        9.98,              0.03,       0.00,             -nan, 100000, 1.55, 1.01, 2.35 
PGM,    8192,     0.01, 199.72,       306.51,      1.70,       1.46,          0.23,      81.37,        0.00,      63.18,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.53, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),      16,     0.01, 257.47,       192.68,      1.72,       1.47,          0.18,     104.89,        0.00,      61.83,             0.01,       21.07,              0.03,       0.00,             -nan, 100000, 0.75, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),       4,     0.01, 255.14,       192.82,      1.71,       1.46,          0.17,     103.94,        0.00,      61.73,             0.01,       21.01,              0.03,       0.00,             -nan, 100000, 0.76, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),       8,     0.01, 260.26,       192.46,      1.72,       1.47,          0.18,     106.04,        0.00,      61.76,             0.01,       21.03,              0.03,       0.00,             -nan, 100000, 0.74, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),      32,     0.01, 254.81,       192.96,      1.71,       1.46,          0.17,     103.78,        0.00,      61.73,             0.01,       21.01,              0.03,       0.00,             -nan, 100000, 0.76, 1.01, 2.46 
