index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses, scale,  IPC, CPUs,  GHz 
PGM,      16,     0.00, 1245.24,       725.05,     16.55,      14.87,          1.05,     487.47,        0.22,     205.97,             2.52,      225.77,              1.59,       0.01,             -nan, 10000, 0.58, 1.02, 2.55 
PGM,       4,     0.00, 346.87,       223.69,     14.74,      14.55,          0.39,     145.33,        0.00,      60.36,             0.07,       64.63,              0.27,       -nan,             -nan, 10000, 0.64, 1.07, 2.39 
PGM,       8,     0.00, 357.77,       234.75,     14.73,      14.52,          0.44,     143.84,        0.00,      61.42,             0.07,       64.68,              0.27,       -nan,             -nan, 10000, 0.66, 1.07, 2.49 
PGM,      32,     0.00, 360.30,       255.90,     14.72,      14.53,          0.47,     150.64,        0.00,      63.19,             0.07,       64.58,              0.27,       -nan,             -nan, 10000, 0.71, 1.07, 2.39 
PGM,      64,     0.00, 359.52,       265.71,     14.71,      14.49,          0.46,     150.28,        0.00,      64.08,             0.07,       64.56,              0.27,       -nan,             -nan, 10000, 0.74, 1.07, 2.39 
PGM,     256,     0.00, 331.87,       261.02,     14.71,      14.50,          0.45,     139.30,        0.00,      60.01,             0.07,       64.56,              0.27,       -nan,             -nan, 10000, 0.79, 1.08, 2.38 
PGM,    1024,     0.00, 339.22,       284.95,     14.72,      14.50,          0.48,     142.24,        0.00,      62.20,             0.07,       64.58,              0.27,       -nan,             -nan, 10000, 0.84, 1.08, 2.38 
PGM,    2048,     0.00, 340.81,       295.85,     14.72,      14.50,          0.47,     142.86,        0.00,      63.18,             0.07,       64.56,              0.27,       -nan,             -nan, 10000, 0.87, 1.07, 2.39 
PGM,    4096,     0.00, 346.15,       306.87,     14.72,      14.48,          0.46,     145.09,        0.00,      64.19,             0.07,       64.58,              0.27,       -nan,             -nan, 10000, 0.89, 1.07, 2.39 
PGM,    8192,     0.00, 315.56,       290.73,     14.72,      14.51,          0.44,     127.64,        0.00,      59.08,             0.07,       64.58,              0.27,       -nan,             -nan, 10000, 0.92, 1.08, 2.47 
PGMCacheL (0, 0.000000, 0),      16,     0.00, 334.11,       218.12,     14.74,      14.50,          0.37,     140.10,        0.00,      71.42,             0.08,       85.83,              0.27,       -nan,             -nan, 10000, 0.65, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),       4,     0.00, 335.72,       217.73,     14.76,      14.55,          0.38,     140.86,        0.00,      71.41,             0.08,       85.83,              0.27,       -nan,             -nan, 10000, 0.65, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),       8,     0.00, 338.09,       217.53,     14.74,      14.53,          0.37,     141.85,        0.00,      71.35,             0.08,       85.77,              0.27,       -nan,             -nan, 10000, 0.64, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),      32,     0.00, 334.41,       216.95,     14.73,      14.51,          0.36,     140.37,        0.00,      71.15,             0.08,       85.68,              0.27,       -nan,             -nan, 10000, 0.65, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),      64,     0.00, 331.07,       216.96,     14.73,      14.50,          0.36,     138.98,        0.00,      71.14,             0.08,       85.66,              0.27,       -nan,             -nan, 10000, 0.66, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),     256,     0.00, 330.90,       217.01,     14.73,      14.51,          0.37,     138.88,        0.00,      71.16,             0.08,       85.69,              0.27,       -nan,             -nan, 10000, 0.66, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),    1024,     0.00, 363.35,       217.12,     14.74,      14.51,          0.37,     122.59,        0.00,      71.17,             0.08,       85.69,              0.28,       -nan,             -nan, 10000, 0.60, 1.07, 2.96 
PGMCacheL (0, 0.000000, 0),    2048,     0.00, 331.85,       217.76,     14.73,      14.50,          0.38,     139.31,        0.00,      71.24,             0.08,       85.77,              0.27,       -nan,             -nan, 10000, 0.66, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),    4096,     0.00, 377.60,       217.12,     14.73,      14.51,          0.37,     115.99,        0.00,      71.16,             0.08,       85.69,              0.28,       -nan,             -nan, 10000, 0.58, 1.07, 3.26 
PGMCacheL (0, 0.000000, 0),    8192,     0.00, 333.96,       217.08,     14.74,      14.49,          0.37,     140.16,        0.00,      71.15,             0.08,       85.68,              0.27,       -nan,             -nan, 10000, 0.65, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),      16,     0.00, 372.94,       217.57,     14.74,      14.52,          0.38,     118.06,        0.00,      71.35,             0.08,       85.77,              0.29,       -nan,             -nan, 10000, 0.58, 1.07, 3.16 
PGMCacheR (0, 0.000000, 0),       4,     0.00, 330.68,       216.90,     14.73,      14.49,          0.36,     138.81,        0.00,      71.15,             0.08,       85.68,              0.27,       -nan,             -nan, 10000, 0.66, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),       8,     0.00, 335.59,       217.60,     14.74,      14.52,          0.38,     140.72,        0.00,      71.36,             0.08,       85.78,              0.27,       -nan,             -nan, 10000, 0.65, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),      32,     0.00, 333.37,       216.94,     14.73,      14.51,          0.36,     139.89,        0.00,      71.15,             0.08,       85.68,              0.27,       -nan,             -nan, 10000, 0.65, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),      64,     0.00, 332.17,       216.97,     14.73,      14.50,          0.36,     139.37,        0.00,      71.15,             0.08,       85.67,              0.27,       -nan,             -nan, 10000, 0.65, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),     256,     0.00, 334.93,       217.10,     14.73,      14.51,          0.37,     140.58,        0.00,      71.17,             0.08,       85.70,              0.27,       -nan,             -nan, 10000, 0.65, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),    1024,     0.00, 335.11,       217.04,     14.73,      14.51,          0.37,     140.59,        0.00,      71.15,             0.08,       85.67,              0.27,       -nan,             -nan, 10000, 0.65, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),    2048,     0.00, 338.95,       217.73,     14.74,      14.53,          0.38,     142.19,        0.00,      71.35,             0.08,       85.76,              0.27,       -nan,             -nan, 10000, 0.64, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),    4096,     0.00, 330.79,       217.12,     14.73,      14.51,          0.37,     138.85,        0.00,      71.16,             0.08,       85.68,              0.27,       -nan,             -nan, 10000, 0.66, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),    8192,     0.00, 332.38,       217.09,     14.73,      14.49,          0.37,     139.54,        0.00,      71.15,             0.08,       85.68,              0.27,       -nan,             -nan, 10000, 0.65, 1.08, 2.38 
