index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses,  scale,  IPC, CPUs,  GHz 
PGM,      16,     0.01, 308.71,       238.47,      2.03,       1.51,          0.97,     125.75,        0.02,      74.56,             0.27,       27.12,              0.16,       0.01,             0.02, 100000, 0.77, 1.01, 2.45 
PGM,       4,     0.01, 249.81,       233.22,      1.77,       1.47,          0.89,      97.80,        0.00,      64.52,             0.01,       10.99,              0.03,       0.01,             -nan, 100000, 0.93, 1.01, 2.55 
PGM,       8,     0.01, 214.84,       215.55,      1.77,       1.47,          0.93,      91.23,        0.00,      59.28,             0.01,       10.99,              0.03,       0.01,             -nan, 100000, 1.00, 1.01, 2.35 
PGM,      32,     0.01, 224.16,       236.56,      1.77,       1.47,          0.95,      91.34,        0.00,      61.07,             0.01,       10.99,              0.03,       0.01,             -nan, 100000, 1.06, 1.01, 2.45 
PGM,      64,     0.01, 230.14,       250.03,      1.78,       1.48,          0.96,      93.76,        0.00,      61.98,             0.01,       10.99,              0.03,       0.01,             -nan, 100000, 1.09, 1.01, 2.45 
PGM,     256,     0.01, 204.36,       246.92,      1.83,       1.49,          1.06,      83.24,        0.00,      57.98,             0.01,       10.99,              0.03,       0.01,             -nan, 100000, 1.21, 1.01, 2.46 
PGM,    1024,     0.01, 211.84,       268.63,      1.86,       1.49,          1.11,      86.31,        0.00,      59.86,             0.01,       10.99,              0.03,       0.02,             -nan, 100000, 1.27, 1.01, 2.45 
PGM,    2048,     0.01, 212.96,       280.94,      1.87,       1.49,          1.12,      86.74,        0.00,      61.30,             0.01,       10.98,              0.03,       0.01,             -nan, 100000, 1.32, 1.01, 2.45 
PGM,    4096,     0.01, 208.65,       274.61,      1.90,       1.50,          1.08,     106.72,        0.00,      58.00,             0.02,       10.02,              0.03,       0.01,             -nan, 100000, 1.32, 1.01, 1.96 
PGM,    8192,     0.01, 218.82,       295.69,      1.92,       1.51,          1.11,      89.16,        0.00,      62.85,             0.02,       10.98,              0.03,       0.01,             -nan, 100000, 1.35, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),      16,     0.01, 230.92,       184.60,      1.98,       1.49,          0.50,      94.07,        0.00,      59.11,             0.02,       21.74,              0.03,       0.00,             -nan, 100000, 0.80, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),       4,     0.01, 231.77,       184.82,      1.98,       1.48,          0.52,      94.41,        0.00,      59.18,             0.03,       21.76,              0.03,       0.00,             -nan, 100000, 0.80, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),       8,     0.01, 240.10,       188.30,      1.95,       1.47,          0.50,      97.85,        0.00,      58.97,             0.02,       21.67,              0.03,       0.00,             -nan, 100000, 0.78, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),      32,     0.01, 230.91,       184.72,      1.97,       1.48,          0.51,      94.06,        0.00,      59.08,             0.02,       21.74,              0.03,       0.00,             -nan, 100000, 0.80, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),      64,     0.01, 237.80,       188.65,      1.99,       1.48,          0.52,      96.90,        0.00,      59.12,             0.02,       21.76,              0.03,       0.00,             -nan, 100000, 0.79, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),     256,     0.01, 235.63,       188.04,      1.99,       1.48,          0.51,      96.00,        0.00,      58.94,             0.02,       21.68,              0.03,       0.00,             -nan, 100000, 0.80, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),    1024,     0.01, 236.04,       188.57,      2.07,       1.49,          0.54,      96.18,        0.00,      59.05,             0.02,       21.75,              0.03,       0.00,             -nan, 100000, 0.80, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),    2048,     0.01, 235.90,       187.28,      2.07,       1.49,          0.53,      88.90,        0.00,      58.96,             0.02,       21.67,              0.03,       0.00,             -nan, 100000, 0.79, 1.01, 2.65 
PGMCacheL (0, 0.000000, 0),    4096,     0.01, 238.59,       189.06,      2.12,       1.50,          0.55,      97.21,        0.00,      59.08,             0.03,       21.75,              0.03,       0.00,             -nan, 100000, 0.79, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),    8192,     0.01, 239.53,       189.21,      2.14,       1.51,          0.54,      97.63,        0.00,      58.98,             0.03,       21.67,              0.03,       0.00,             -nan, 100000, 0.79, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),      16,     0.01, 230.98,       184.65,      1.96,       1.47,          0.51,      94.08,        0.00,      59.12,             0.02,       21.77,              0.03,       0.00,             -nan, 100000, 0.80, 1.01, 2.46 
PGMCacheR (0, 0.000000, 0),       4,     0.01, 231.02,       184.43,      1.97,       1.47,          0.50,      94.12,        0.00,      59.05,             0.02,       21.67,              0.03,       0.00,             -nan, 100000, 0.80, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),       8,     0.01, 236.75,       188.75,      1.97,       1.47,          0.52,     100.53,        0.00,      59.08,             0.03,       21.75,              0.03,       0.00,             -nan, 100000, 0.80, 1.01, 2.35 
PGMCacheR (0, 0.000000, 0),      32,     0.01, 230.51,       184.34,      1.96,       1.47,          0.50,      93.88,        0.00,      58.97,             0.02,       21.67,              0.03,       0.00,             -nan, 100000, 0.80, 1.01, 2.46 
PGMCacheR (0, 0.000000, 0),      64,     0.01, 237.83,       188.72,      1.99,       1.48,          0.51,      96.86,        0.00,      59.12,             0.02,       21.76,              0.03,       0.00,             -nan, 100000, 0.79, 1.01, 2.46 
PGMCacheR (0, 0.000000, 0),     256,     0.01, 230.27,       184.36,      1.99,       1.48,          0.51,      93.80,        0.00,      58.92,             0.02,       21.67,              0.03,       0.00,             -nan, 100000, 0.80, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),    1024,     0.01, 235.73,       188.72,      2.07,       1.49,          0.54,      96.07,        0.00,      59.06,             0.02,       21.75,              0.03,       0.00,             -nan, 100000, 0.80, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),    2048,     0.01, 230.65,       184.48,      2.07,       1.49,          0.53,      94.00,        0.00,      58.96,             0.02,       21.67,              0.03,       0.00,             -nan, 100000, 0.80, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),    4096,     0.01, 233.78,       185.06,      2.12,       1.50,          0.55,      95.22,        0.00,      59.10,             0.03,       21.76,              0.03,       0.00,             -nan, 100000, 0.79, 1.01, 2.46 
PGMCacheR (0, 0.000000, 0),    8192,     0.01, 236.72,       188.53,      2.14,       1.51,          0.54,      96.47,        0.00,      58.98,             0.03,       21.67,              0.03,       0.00,             -nan, 100000, 0.80, 1.01, 2.45 
