index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses,  scale,  IPC, CPUs,  GHz 
PGM,      16,     0.01, 310.48,       248.39,      2.18,       1.53,          1.05,     116.96,        0.02,      76.21,             0.27,       27.12,              0.16,       0.01,             -nan, 100000, 0.80, 1.01, 2.65 
PGM,       4,     0.01, 296.30,       252.04,      2.11,       1.52,          0.98,     120.73,        0.01,      73.85,             0.14,       18.81,              0.09,       0.01,             0.03, 100000, 0.85, 1.01, 2.45 
PGM,       8,     0.01, 222.02,       222.36,      2.01,       1.50,          1.03,      90.42,        0.00,      61.15,             0.01,       10.99,              0.03,       0.03,             -nan, 100000, 1.00, 1.01, 2.46 
PGM,      32,     0.01, 274.28,       251.55,      2.11,       1.52,          1.12,     111.70,        0.01,      68.90,             0.12,       17.90,              0.09,       0.02,             -nan, 100000, 0.92, 1.01, 2.46 
PGM,      64,     0.01, 230.95,       249.37,      2.06,       1.50,          1.05,      94.09,        0.00,      63.78,             0.01,       10.98,              0.03,       0.01,             -nan, 100000, 1.08, 1.01, 2.45 
PGM,     256,     0.01, 243.03,       274.55,      2.10,       1.51,          1.13,      99.01,        0.00,      65.71,             0.02,       10.99,              0.03,       0.07,             -nan, 100000, 1.13, 1.01, 2.45 
PGM,    1024,     0.01, 213.29,       270.29,      2.11,       1.51,          1.13,      86.88,        0.00,      61.69,             0.02,       10.98,              0.03,       0.02,             -nan, 100000, 1.27, 1.01, 2.46 
PGM,    2048,     0.01, 215.96,       283.89,      2.12,       1.53,          1.11,      84.53,        0.00,      62.69,             0.02,       10.99,              0.03,       0.01,             -nan, 100000, 1.31, 1.01, 2.55 
PGM,    4096,     0.01, 215.06,       284.12,      2.13,       1.54,          1.12,      87.64,        0.00,      59.69,             0.02,        9.98,              0.03,       0.01,             -nan, 100000, 1.32, 1.01, 2.45 
PGM,    8192,     0.01, 216.98,       300.79,      2.14,       1.55,          1.11,      88.41,        0.00,      64.71,             0.02,       11.00,              0.03,       0.01,             -nan, 100000, 1.39, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),      16,     0.00,  20.75,         3.68,      1.47,       1.46,          0.04,       8.94,        0.00,       1.09,             0.01,        6.32,              0.03,       -nan,             -nan, 100000, 0.18, 1.12, 2.32 
PGMCacheL (0, 0.000000, 0),       4,     0.00,  20.08,         3.36,      1.47,       1.46,          0.04,       8.68,        0.00,       1.01,             0.01,        6.27,              0.03,       -nan,             -nan, 100000, 0.17, 1.13, 2.31 
PGMCacheL (0, 0.000000, 0),       8,     0.00,  20.41,         3.37,      1.47,       1.46,          0.04,       8.81,        0.00,       1.01,             0.01,        6.28,              0.03,       -nan,             -nan, 100000, 0.17, 1.13, 2.32 
PGMCacheL (0, 0.000000, 0),      32,     0.00,  20.32,         3.26,      1.47,       1.45,          0.04,       8.77,        0.00,       0.98,             0.01,        6.26,              0.03,       -nan,             -nan, 100000, 0.16, 1.13, 2.32 
PGMCacheL (0, 0.000000, 0),      64,     0.00,  20.12,         3.39,      1.47,       1.46,          0.04,       8.69,        0.00,       1.01,             0.01,        6.27,              0.03,       -nan,             -nan, 100000, 0.17, 1.13, 2.32 
PGMCacheL (0, 0.000000, 0),     256,     0.00,  20.26,         3.28,      1.47,       1.46,          0.04,       8.74,        0.00,       0.98,             0.01,        6.26,              0.03,       -nan,             -nan, 100000, 0.16, 1.13, 2.32 
PGMCacheL (0, 0.000000, 0),    1024,     0.00,  20.54,         3.37,      1.47,       1.46,          0.04,       8.85,        0.00,       1.00,             0.01,        6.28,              0.03,       -nan,             -nan, 100000, 0.16, 1.13, 2.32 
PGMCacheL (0, 0.000000, 0),    2048,     0.00,  20.38,         3.39,      1.47,       1.46,          0.04,       8.79,        0.00,       1.01,             0.01,        6.27,              0.03,       -nan,             -nan, 100000, 0.17, 1.13, 2.32 
PGMCacheL (0, 0.000000, 0),    4096,     0.00,  20.38,         3.53,      1.47,       1.46,          0.04,       8.80,        0.00,       1.03,             0.01,        6.29,              0.03,       -nan,             -nan, 100000, 0.17, 1.13, 2.32 
PGMCacheL (0, 0.000000, 0),    8192,     0.00,  20.07,         3.35,      1.47,       1.46,          0.04,       9.04,        0.00,       0.99,             0.01,        6.26,              0.03,       -nan,             -nan, 100000, 0.17, 1.13, 2.22 
