index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses,  scale,  IPC, CPUs,  GHz 
PGM,      16,     0.01, 290.46,       229.75,      1.90,       1.50,          0.70,     118.30,        0.02,      74.37,             0.31,       27.08,              0.16,       0.01,             0.12, 100000, 0.79, 1.01, 2.46 
PGM,       4,     0.01, 244.47,       235.78,      1.73,       1.47,          0.65,      99.62,        0.00,      64.42,             0.01,       10.99,              0.03,       0.00,             -nan, 100000, 0.96, 1.01, 2.45 
PGM,       8,     0.01, 212.41,       221.69,      1.72,       1.46,          0.69,      86.54,        0.00,      59.22,             0.01,       10.98,              0.03,       0.01,             -nan, 100000, 1.04, 1.01, 2.45 
PGM,      32,     0.01, 216.22,       238.43,      1.73,       1.46,          0.65,      88.07,        0.00,      61.07,             0.01,       10.98,              0.03,       0.01,             -nan, 100000, 1.10, 1.01, 2.46 
PGM,      64,     0.01, 221.24,       251.23,      1.73,       1.46,          0.66,      90.16,        0.00,      62.01,             0.01,       10.98,              0.03,       0.01,             -nan, 100000, 1.14, 1.01, 2.45 
PGM,     256,     0.01, 194.57,       250.35,      1.74,       1.47,          0.69,      79.26,        0.00,      58.02,             0.01,       10.98,              0.03,       0.01,             -nan, 100000, 1.29, 1.01, 2.45 
PGM,    1024,     0.01, 199.40,       267.46,      1.74,       1.47,          0.73,      92.54,        0.00,      59.96,             0.01,       10.98,              0.03,       0.02,             -nan, 100000, 1.34, 1.01, 2.15 
PGM,    2048,     0.01, 202.88,       283.90,      1.74,       1.47,          0.72,      82.65,        0.00,      61.32,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.40, 1.01, 2.45 
PGM,    4096,     0.01, 198.13,       282.29,      1.75,       1.46,          0.68,      84.11,        0.00,      58.02,             0.01,        9.98,              0.03,       0.00,             -nan, 100000, 1.42, 1.01, 2.36 
PGM,    8192,     0.01, 206.93,       300.63,      1.75,       1.47,          0.69,      84.29,        0.00,      62.97,             0.01,       10.98,              0.03,       0.00,             -nan, 100000, 1.45, 1.01, 2.46 
PGMCacheL (0, 0.000000, 0),      16,     0.01, 179.06,       164.70,      1.78,       1.48,          0.27,      72.96,        0.00,      54.39,             0.02,       21.30,              0.03,       0.00,             -nan, 100000, 0.92, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),       4,     0.01, 177.90,       164.51,      1.77,       1.47,          0.28,      72.46,        0.00,      54.35,             0.02,       21.27,              0.03,       0.00,             -nan, 100000, 0.92, 1.01, 2.46 
PGMCacheL (0, 0.000000, 0),       8,     0.01, 177.21,       164.30,      1.77,       1.47,          0.27,      66.78,        0.00,      54.29,             0.02,       21.26,              0.03,       0.00,             -nan, 100000, 0.93, 1.01, 2.65 
PGMCacheL (0, 0.000000, 0),      32,     0.01, 176.93,       165.32,      1.78,       1.46,          0.27,      78.56,        0.00,      54.32,             0.02,       21.27,              0.03,       0.00,             -nan, 100000, 0.93, 1.01, 2.25 
PGMCacheL (0, 0.000000, 0),      64,     0.01, 178.78,       164.43,      1.77,       1.47,          0.27,      72.87,        0.00,      54.30,             0.02,       21.26,              0.03,       0.00,             -nan, 100000, 0.92, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),     256,     0.01, 177.70,       164.50,      1.79,       1.47,          0.28,      72.41,        0.00,      54.31,             0.02,       21.27,              0.03,       0.00,             -nan, 100000, 0.93, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),    1024,     0.01, 177.11,       164.40,      1.80,       1.46,          0.28,      72.16,        0.00,      54.26,             0.02,       21.25,              0.03,       0.00,             -nan, 100000, 0.93, 1.01, 2.45 
